State,June
Alaska,6.4
District of Columbia,5.6
Mississippi,5
Arizona,4.9
New Mexico,4.9
West Virginia,4.7
Washington,4.6
Louisiana,4.3
Illinois,4.3
California,4.2
Michigan,4.2
Oregon,4.1
North Carolina,4.1
Kentucky,4.1
Nevada,4
New York,4
Ohio,4
Maryland,3.8
Pennsylvania,3.8
Georgia,3.7
Connecticut,3.7
Rhode Island,3.6
Arkansas,3.5
Indiana,3.5
Alabama,3.5
Wyoming,3.5
Montana,3.5
New Jersey,3.5
South Carolina,3.5
Texas,3.4
Florida,3.4
Tennessee,3.4
Kansas,3.4
Missouri,3.3
Minnesota,3.3
Delaware,3.2
Oklahoma,3.2
Maine,3.2
Colorado,3
Massachusetts,3
Nebraska,3
Virginia,2.9
South Dakota,2.9
Wisconsin,2.9
Hawaii,2.8
Utah,2.8
Idaho,2.8
New Hampshire,2.5
Iowa,2.4
North Dakota,2.3
Vermont,2.1
